A#0	14.6
A#1	29.1
A#2	58.3
A#3	116.5
A#4	233.1
A#5	466.2
A#6	932.3
A#7	1864.7
A#8	3729.3
A#9	7458.6
A0	13.8
A1	27.5
A2	55
A3	110
A4	220
A5	440
A6	880
A7	1760
A8	3520
A9	7040
Ab1	26
Ab2	51.9
Ab3	103.8
Ab4	207.7
Ab5	415.3
Ab6	830.6
Ab7	1661.2
Ab8	3322.4
Ab9	6644.9
B0	15.4
B1	30.9
B2	61.7
B3	123.5
B4	246.9
B5	493.9
B6	987.8
B7	1975.5
B8	3951.1
B9	7902.1
Bb0	14.6
Bb1	29.1
Bb2	58.3
Bb3	116.5
Bb4	233.1
Bb5	466.2
Bb6	932.3
Bb7	1864.7
Bb8	3729.3
Bb9	7458.6
C#0	8.7
C#1	17.3
C#10	8869.8
C#2	34.6
C#3	69.3
C#4	138.6
C#5	277.2
C#6	554.4
C#7	1108.7
C#8	2217.5
C#9	4434.9
C0	8.2
C1	16.4
C10	8372
C2	32.7
C3	65.4
C4	130.8
C5	261.6
C6	523.3
C7	1046.5
C8	2093
C9	4186
D#0	9.7
D#1	19.4
D#10	9956.1
D#2	38.9
D#3	77.8
D#4	155.6
D#5	311.1
D#6	622.3
D#7	1244.5
D#8	2489
D#9	4978
D0	9.2
D1	18.4
D10	9397.3
D2	36.7
D3	73.4
D4	146.8
D5	293.7
D6	587.3
D7	1174.7
D8	2349.3
D9	4698.6
Db0	8.7
Db1	17.3
Db10	8869.8
Db2	34.6
Db3	69.3
Db4	138.6
Db5	277.2
Db6	554.4
Db7	1108.7
Db8	2217.5
Db9	4434.9
E0	10.3
E1	20.6
E10	10548.1
E2	41.2
E3	82.4
E4	164.8
E5	329.6
E6	659.3
E7	1318.5
E8	2637
E9	5274
Eb0	9.7
Eb1	19.4
Eb10	9956.1
Eb2	38.9
Eb3	77.8
Eb4	155.6
Eb5	311.1
Eb6	622.3
Eb7	1244.5
Eb8	2489
Eb9	4978
F#0	11.6
F#0	13
F#1	23.1
F#10	11839.8
F#2	46.2
F#3	92.5
F#4	185
F#5	370
F#6	740
F#7	1480
F#8	2960
F#9	5919.9
F0	10.9
F1	21.8
F10	11175.3
F2	43.7
F3	87.3
F4	174.6
F5	349.2
F6	698.5
F7	1396.9
F8	2793.8
F9	5587.7
G#1	26
G#2	51.9
G#3	103.8
G#4	207.7
G#5	415.3
G#6	830.6
G#7	1661.2
G#8	3322.4
G#9	6644.9
G0	12.2
G1	24.5
G10	12543.9
G2	49
G3	98
G4	196
G5	392
G6	784
G7	1568
G8	3136
G9	6271.9
Gb0	11.6
Gb0	13
Gb1	23.1
Gb10	11839.8
Gb2	46.2
Gb3	92.5
Gb4	185
Gb5	370
Gb6	740
Gb7	1480
Gb8	2960
Gb9	5919.9
PAUSE   0
